"契約ID","会員番号","ステータス","契約種別","プランID","契約内容","契約申込み日時","解約申込み日時","契約開始日時","契約満了日時","削除フラグ"
"62923d5f-3f4e-4818-ba7c-d5097d0071c6","15cbfa59-9ed6-4c8e-be38-ed8c8810f773","3","3","light","type=""month"" name=""light"" fee=980 default=true prologue_kind=""immediate"" adjustment_rule=[] ","2022-02-23 10:31:23","2022-02-23 23:56:29","2022-02-23 23:56:29","2022-02-28 23:59:59","0"
"c5ac2a2d-bdf3-4da9-9dbe-a83155fd3624","df0d58bc-c15c-4202-8be6-c7266b374274","1","3","light","type=""month"" name=""light"" fee=980 default=true prologue_kind=""immediate"" adjustment_rule=[] ","2022-02-24 10:39:34","","2022-02-24 10:39:34","","0"
"bd33718a-b690-4cff-aec6-d81276b60b9d","df0d58bc-c15c-4202-8be6-c7266b374274","3","3","light","type=""month"" name=""light"" fee=980 default=true prologue_kind=""immediate"" adjustment_rule=[] ","2022-02-24 10:53:35","2022-02-25 09:57:35","2022-02-25 09:57:35","2022-02-28 23:59:59","0"
"fdae8e10-a11c-4ec2-98b1-07f2a6ed4a82","df0d58bc-c15c-4202-8be6-c7266b374274","1","3","standard","type=""month"" name=""standard"" fee=1380 default=true prologue_kind=""immediate"" adjustment_rule=[] ","2022-02-24 11:07:03","","2022-02-24 11:07:03","","0"
"c82ead75-995d-48ad-a584-69634a13adf5","15cbfa59-9ed6-4c8e-be38-ed8c8810f773","3","3","premium","type=""month"" name=""premium"" fee=1980 default=true prologue_kind=""immediate"" adjustment_rule=[] ","2022-02-24 11:11:13","2022-02-24 16:04:01","2022-02-24 16:04:01","2022-02-28 23:59:59","0"
"4e1f7273-f36c-4419-a7f6-0d23badbbebd","e99cda9c-61bd-434e-9a03-99a4fa33b4f7","3","3","light","type=""month"" name=""light"" fee=980 default=true prologue_kind=""immediate"" adjustment_rule=[] ","2022-02-24 11:14:43","2022-02-24 16:03:52","2022-02-24 16:03:52","2022-02-28 23:59:59","0"
"07a39a9c-fc40-4c05-b802-d0788e49a289","1b6a1e6a-e709-4009-8870-9afe5d53f784","1","3","premium","type=""month"" name=""premium"" fee=1980 default=true prologue_kind=""immediate"" adjustment_rule=[] ","2022-02-24 11:41:07","","2022-02-24 11:41:07","","0"
"b409a981-8361-452c-8e6f-1a56f340e4b2","be8556c4-5190-4796-9076-2199b5c0a911","1","3","light","type=""month"" name=""light"" fee=980 default=true prologue_kind=""immediate"" adjustment_rule=[] ","2022-02-24 11:41:30","","2022-02-24 11:41:30","","0"
"13f4849f-c7a6-481b-ac39-8e4b405b63c4","b1280e97-0901-4161-a2a2-891dcc4ddd2f","1","3","light","type=""month"" name=""light"" fee=980 default=true prologue_kind=""immediate"" adjustment_rule=[] ","2022-02-24 11:42:21","","2022-02-24 11:42:21","","0"
"46a96348-9c7a-4e26-9000-1815afcfdef1","1b6a1e6a-e709-4009-8870-9afe5d53f784","3","3","premium","type=""month"" name=""premium"" fee=1980 default=true prologue_kind=""immediate"" adjustment_rule=[] ","2022-02-24 11:42:38","2022-02-24 11:58:44","2022-02-24 11:58:44","2022-02-28 23:59:59","0"
